------------------------------OpenMP------------------------
integrate_omp_seq
         T	      Time	    Result	  Speedup
         1	    1.9375	  0.666667	         1
         2	   1.34529	  0.666667	   1.44021
         3	   1.33792	  0.666667	   1.44815
         4	   1.33788	  0.666667	   1.44818
         5	   1.33782	  0.666667	   1.44825
         6	   1.33822	  0.666667	   1.44782
         7	   1.33785	  0.666667	   1.44823
         8	   1.33786	  0.666667	   1.44821
         9	   1.33792	  0.666667	   1.44814
        10	   1.33787	  0.666667	   1.44819
        11	   1.33785	  0.666667	   1.44822
        12	   1.33845	  0.666667	   1.44757
        13	   1.33786	  0.666667	   1.44821
        14	    1.3379	  0.666667	   1.44817
        15	   1.33789	  0.666667	   1.44817
        16	   1.33786	  0.666667	   1.44821
        17	   1.33788	  0.666667	   1.44819
        18	   1.33823	  0.666667	   1.44781
        19	   1.33788	  0.666667	   1.44818
        20	   1.33787	  0.666667	    1.4482
        21	   1.33793	  0.666667	   1.44813
        22	   1.33797	  0.666667	   1.44809
        23	   1.33786	  0.666667	   1.44821
        24	   1.33814	  0.666667	   1.44791
        25	   1.33789	  0.666667	   1.44817
        26	   1.33788	  0.666667	   1.44819
        27	    1.3381	  0.666667	   1.44795
        28	   1.33802	  0.666667	   1.44803
        29	   1.33793	  0.666667	   1.44813
        30	   1.33799	  0.666667	   1.44807
        31	   1.33797	  0.666667	   1.44809
        32	    1.3379	  0.666667	   1.44817
        33	   1.33795	  0.666667	   1.44811
        34	   1.33789	  0.666667	   1.44818
        35	   1.33792	  0.666667	   1.44815
        36	    1.3379	  0.666667	   1.44816
        37	   1.33798	  0.666667	   1.44808
        38	   1.33796	  0.666667	    1.4481
        39	   1.33796	  0.666667	    1.4481
        40	   1.33789	  0.666667	   1.44817
        41	   1.33793	  0.666667	   1.44813
        42	   1.33802	  0.666667	   1.44804
        43	   1.33791	  0.666667	   1.44816
        44	   1.33792	  0.666667	   1.44814
        45	   1.33798	  0.666667	   1.44808
        46	   1.33793	  0.666667	   1.44814
        47	   1.33796	  0.666667	    1.4481
        48	   1.33796	  0.666667	    1.4481
integrate_omp_fs
         T	      Time	    Result	  Speedup
         1	   1.58786	  0.666667	         1
         2	   1.77498	  0.666667	  0.894578
         3	   1.20659	  0.666667	     1.316
         4	   2.20219	  0.666667	  0.721038
         5	   2.07396	  0.666667	  0.765618
         6	   1.43756	  0.666667	   1.10455
         7	   1.39636	  0.666667	   1.13714
         8	   1.63606	  0.666667	  0.970538
         9	   1.27105	  0.666667	   1.24925
        10	   1.17081	  0.666667	   1.35621
        11	   1.05707	  0.666667	   1.50214
        12	   1.34114	  0.666667	   1.18397
        13	   1.44224	  0.666667	   1.10097
        14	  0.996179	  0.666667	   1.59395
        15	  0.824243	  0.666667	   1.92645
        16	  0.957056	  0.666667	   1.65911
        17	   1.24464	  0.666667	   1.27576
        18	  0.976234	  0.666667	   1.62652
        19	   1.14403	  0.666667	   1.38795
        20	   1.10342	  0.666667	   1.43904
        21	   1.08884	  0.666667	   1.45831
        22	  0.980991	  0.666667	   1.61863
        23	   1.11158	  0.666667	   1.42848
        24	   1.04723	  0.666667	   1.51625
        25	   1.04983	  0.666667	   1.51249
        26	  0.951765	  0.666667	   1.66833
        27	  0.914303	  0.666667	   1.73669
        28	  0.808321	  0.666667	    1.9644
        29	  0.841255	  0.666667	   1.88749
        30	  0.870666	  0.666667	   1.82373
        31	  0.873416	  0.666667	   1.81799
        32	  0.764426	  0.666667	   2.07719
        33	  0.734356	  0.666667	   2.16225
        34	  0.741995	  0.666667	   2.13999
        35	   0.73185	  0.666667	   2.16965
        36	  0.720215	  0.666667	   2.20471
        37	  0.780959	  0.666667	   2.03322
        38	  0.744681	  0.666667	   2.13227
        39	  0.792761	  0.666667	   2.00295
        40	  0.804298	  0.666667	   1.97422
        41	  0.790902	  0.666667	   2.00766
        42	   0.83664	  0.666667	    1.8979
        43	  0.837156	  0.666667	   1.89673
        44	  0.844363	  0.666667	   1.88054
        45	  0.866498	  0.666667	   1.83251
        46	  0.717516	  0.666667	     2.213
        47	  0.771675	  0.666667	   2.05768
        48	  0.770146	  0.666667	   2.06177
integrate_omp
         T	      Time	    Result	  Speedup
         1	   2.25904	  0.666667	         1
         2	  0.872632	  0.666667	   2.58876
         3	   0.88067	  0.666667	   2.56513
         4	  0.745726	  0.666667	   3.02931
         5	  0.606553	  0.666667	   3.72439
         6	   0.42866	  0.666667	   5.26999
         7	  0.408317	  0.666667	   5.53256
         8	  0.350771	  0.666667	   6.44021
         9	  0.238615	  0.666667	   9.46728
        10	  0.204794	  0.666667	   11.0308
        11	  0.169422	  0.666667	   13.3338
        12	  0.134549	  0.666667	   16.7896
        13	  0.134107	  0.666667	    16.845
        14	  0.122462	  0.666667	   18.4468
        15	  0.121572	  0.666667	   18.5818
        16	  0.107971	  0.666667	   20.9226
        17	  0.103007	  0.666667	   21.9309
        18	 0.0963376	  0.666667	   23.4492
        19	  0.112868	  0.666667	   20.0148
        20	 0.0884626	  0.666667	   25.5366
        21	 0.0831395	  0.666667	   27.1716
        22	 0.0823386	  0.666667	   27.4359
        23	 0.0767309	  0.666667	    29.441
        24	  0.133907	  0.666667	   16.8702
        25	   0.11973	  0.666667	   18.8677
        26	  0.115148	  0.666667	   19.6185
        27	  0.104199	  0.666667	     21.68
        28	 0.0887484	  0.666667	   25.4544
        29	 0.0784543	  0.666667	   28.7943
        30	 0.0695723	  0.666667	   32.4703
        31	 0.0627828	  0.666667	   35.9818
        32	 0.0592871	  0.666667	   38.1034
        33	  0.055136	  0.666667	    40.972
        34	 0.0527629	  0.666667	   42.8149
        35	 0.0537042	  0.666667	   42.0645
        36	 0.0508954	  0.666667	   44.3859
        37	 0.0496419	  0.666667	   45.5067
        38	 0.0496636	  0.666667	   45.4868
        39	 0.0487804	  0.666667	   46.3103
        40	 0.0472145	  0.666667	   47.8462
        41	 0.0462383	  0.666667	   48.8564
        42	 0.0463092	  0.666667	   48.7816
        43	  0.046098	  0.666667	   49.0051
        44	 0.0442023	  0.666667	   51.1068
        45	 0.0468604	  0.666667	   48.2078
        46	 0.0480414	  0.666667	   47.0227
        47	 0.0446925	  0.666667	   50.5462
        48	 0.0466232	  0.666667	   48.4531
integrate_omp_reduce
         T	      Time	    Result	  Speedup
         1	   1.55357	  0.666667	         1
         2	   1.09271	  0.666667	   1.42176
         3	  0.649476	  0.666667	   2.39204
         4	  0.604251	  0.666667	   2.57107
         5	  0.418021	  0.666667	   3.71648
         6	  0.258281	  0.666667	   6.01503
         7	  0.354229	  0.666667	   4.38577
         8	  0.171281	  0.666667	   9.07028
         9	  0.151722	  0.666667	   10.2396
        10	  0.139844	  0.666667	   11.1093
        11	  0.187167	  0.666667	   8.30043
        12	  0.116928	  0.666667	   13.2865
        13	  0.107488	  0.666667	   14.4534
        14	   0.10014	  0.666667	    15.514
        15	 0.0943425	  0.666667	   16.4673
        16	 0.0876549	  0.666667	   17.7237
        17	  0.083628	  0.666667	   18.5771
        18	 0.0783241	  0.666667	   19.8351
        19	 0.0744504	  0.666667	   20.8672
        20	 0.0705822	  0.666667	   22.0108
        21	 0.0676882	  0.666667	   22.9519
        22	 0.0645317	  0.666667	   24.0745
        23	  0.105313	  0.666667	   14.7519
        24	  0.115678	  0.666667	   13.4302
        25	  0.108054	  0.666667	   14.3777
        26	  0.103028	  0.666667	   15.0791
        27	 0.0872291	  0.666667	   17.8102
        28	 0.0836826	  0.666667	    18.565
        29	 0.0716455	  0.666667	   21.6841
        30	 0.0645057	  0.666667	   24.0842
        31	 0.0601263	  0.666667	   25.8384
        32	 0.0557786	  0.666667	   27.8524
        33	 0.0530765	  0.666667	   29.2704
        34	 0.0509833	  0.666667	   30.4721
        35	 0.0472308	  0.666667	   32.8932
        36	 0.0432593	  0.666667	   35.9129
        37	 0.0422533	  0.666667	    36.768
        38	 0.0396489	  0.666667	   39.1832
        39	 0.0390699	  0.666667	   39.7638
        40	  0.037871	  0.666667	   41.0227
        41	 0.0371618	  0.666667	   41.8055
        42	 0.0364229	  0.666667	   42.6537
        43	 0.0361054	  0.666667	   43.0287
        44	 0.0351181	  0.666667	   44.2384
        45	 0.0342686	  0.666667	    45.335
        46	 0.0339179	  0.666667	   45.8038
        47	 0.0334891	  0.666667	   46.3903
        48	 0.0602612	  0.666667	   25.7806
integrate_omp_reduce_dyn
         T	      Time	    Result	  Speedup
         1	   2.26574	  0.666667	         1
         2	   2.66583	  0.666667	   0.84992
         3	   2.61583	  0.666667	  0.866164
         4	   3.42231	  0.666667	  0.662049
         5	   5.13594	  0.666667	  0.441154
         6	   4.28122	  0.666667	  0.529227
         7	   4.92992	  0.666667	   0.45959
         8	   5.14398	  0.666667	  0.440465
         9	   2.80217	  0.666667	  0.808566
        10	   3.85117	  0.666667	  0.588326
        11	   3.01269	  0.666667	  0.752066
        12	   3.11449	  0.666667	  0.727484
        13	   3.37654	  0.666667	  0.671025
        14	   3.48134	  0.666667	  0.650824
        15	   3.44479	  0.666667	  0.657729
        16	   6.09949	  0.666667	  0.371464
        17	   8.75845	  0.666667	  0.258692
        18	   12.8512	  0.666667	  0.176306
        19	   17.4562	  0.666667	  0.129796
        20	   14.8726	  0.666667	  0.152343
        21	   9.90439	  0.666667	  0.228761
        22	   10.5367	  0.666667	  0.215034
        23	   19.4921	  0.666667	  0.116239
        24	   15.6007	  0.666667	  0.145234
        25	    18.005	  0.666667	  0.125839
        26	   10.6938	  0.666667	  0.211874
        27	   17.9057	  0.666667	  0.126537
        28	   11.4157	  0.666667	  0.198476
        29	   12.8839	  0.666667	  0.175858
        30	   13.0634	  0.666667	  0.173442
        31	   11.2726	  0.666667	  0.200995
        32	   20.9975	  0.666667	  0.107905
        33	   17.6309	  0.666667	   0.12851
        34	   14.5606	  0.666667	  0.155608
        35	   13.7009	  0.666667	  0.165372
        36	   14.7392	  0.666667	  0.153722
        37	   14.1857	  0.666667	   0.15972
        38	    14.891	  0.666667	  0.152155
        39	    21.391	  0.666667	   0.10592
